1.21, 1.31
1.35, 1.29
1.48, 1.42
1.48, 1.49
1.36, 1.48
1.19, 1.43
1.04, 1.28
1.18, 1.14
1.15, 1.27
1.26, 1.20
1.41, 1.30
1.35, 1.42
1.25, 1.36
1.49, 1.34
1.70, 1.56
1.70, 1.66
1.58, 1.65
1.33, 1.64
1.14, 1.39
1.40, 1.20
1.45, 1.47
1.50, 1.43
1.78, 1.50
1.63, 1.80
1.72, 1.60
1.78, 1.82
1.99, 1.80
1.99, 2.02
1.84, 1.98
1.62, 1.89
1.46, 1.66
1.66, 1.48
1.71, 1.71
1.80, 1.70
1.93, 1.83
1.81, 1.96
1.83, 1.82
2.18, 1.91
2.30, 2.24
2.42, 2.25
2.09, 2.45
1.91, 2.09
1.72, 1.97
1.94, 1.69
1.96, 2.01
1.96, 1.94
2.36, 2.01
2.35, 2.45
2.29, 2.29
2.43, 2.37
2.64, 2.53
2.72, 2.71
2.37, 2.76
2.11, 2.38
1.80, 2.14
2.01, 1.74
2.04, 2.07
1.88, 2.02
2.35, 1.92
2.27, 2.49
2.34, 2.19
2.64, 2.45
3.02, 2.74
2.93, 3.05
2.59, 2.89
2.29, 2.64
2.03, 2.28
2.29, 1.99
2.42, 2.38
2.33, 2.42
2.67, 2.36
2.69, 2.83
2.70, 2.68
3.15, 2.80
3.64, 3.35
3.47, 3.68
3.12, 3.36
2.74, 3.18
2.37, 2.72
2.78, 2.33
2.84, 2.97
2.77, 2.83
3.17, 2.85
3.13, 3.40
3.18, 3.12
3.74, 3.34
4.13, 4.02
4.05, 4.13
3.55, 3.98
3.06, 3.49
2.71, 2.96
3.06, 2.71
3.15, 3.27
3.01, 3.20
3.56, 3.08
3.48, 3.89
3.55, 3.43
4.22, 3.75
4.65, 4.57
4.67, 4.58
4.04, 4.53
3.47, 3.83
3.05, 3.24
3.36, 3.09
3.40, 3.60
3.18, 3.49
3.62, 3.24
3.48, 3.95
3.63, 3.48
4.35, 3.87
4.91, 4.69
5.05, 4.78
4.04, 4.78
3.59, 3.60
3.10, 3.24
3.37, 3.37
3.60, 3.59
3.42, 3.76
4.06, 3.44
3.96, 4.49
4.20, 3.88
4.72, 4.46
5.48, 4.97
5.59, 5.49
4.63, 5.10
4.07, 4.06
3.62, 3.57
4.05, 3.87
4.17, 4.39
3.91, 4.28
4.19, 3.91
4.61, 4.48
4.72, 4.83
5.35, 4.68
6.22, 5.59
6.06, 6.09
5.08, 5.20
4.61, 4.31
3.90, 4.09
4.32, 4.14
