1/1/2005,8016
2/1/2005,6218
3/1/2005,6902
4/1/2005,6844
5/1/2005,6165
6/1/2005,6609
7/1/2005,6104
8/1/2005,6088
9/1/2005,5750
10/1/2005,6757
11/1/2005,6742
12/1/2005,7101
1/1/2006,8429
2/1/2006,6344
3/1/2006,6587
4/1/2006,6372
5/1/2006,5870
6/1/2006,5990
7/1/2006,5729
8/1/2006,6444
9/1/2006,5119
10/1/2006,6293
11/1/2006,6527
12/1/2006,6518
1/1/2007,7987
2/1/2007,5808
3/1/2007,5853
4/1/2007,7172
5/1/2007,5949
6/1/2007,5869
7/1/2007,5837
8/1/2007,6110
9/1/2007,5298
10/1/2007,7265
11/1/2007,7037
12/1/2007,7280
1/1/2008,9062
2/1/2008,7553
3/1/2008,7448
4/1/2008,8140
5/1/2008,6963
6/1/2008,7695
7/1/2008,8009
8/1/2008,7287
9/1/2008,10361
10/1/2008,12823
11/1/2008,12664
12/1/2008,15652
1/1/2009,18196
2/1/2009,16741
3/1/2009,16646
4/1/2009,16061
5/1/2009,13903
6/1/2009,14311
7/1/2009,14469
8/1/2009,12115
9/1/2009,13495
10/1/2009,13871
11/1/2009,13637
12/1/2009,15430
1/1/2010,14022
2/1/2010,11854
3/1/2010,12337
4/1/2010,11892
5/1/2010,9975
6/1/2010,11250
7/1/2010,10428
8/1/2010,10322
9/1/2010,10445
10/1/2010,10683
11/1/2010,10251
12/1/2010,13110
1/1/2011,12859
2/1/2011,9744
3/1/2011,10395
4/1/2011,10298
5/1/2011,9361
6/1/2011,9393
7/1/2011,9047
8/1/2011,8596
9/1/2011,8410
10/1/2011,9656
11/1/2011,9929
12/1/2011,10142
1/1/2012,11597
2/1/2012,9229
3/1/2012,8930
4/1/2012,9285
5/1/2012,8243
6/1/2012,8574
7/1/2012,9295
8/1/2012,7867
9/1/2012,7668
10/1/2012,9526
11/1/2012,9299
12/1/2012,9316
1/1/2013,10452
2/1/2013,7885
3/1/2013,8019
4/1/2013,8904
5/1/2013,7597
6/1/2013,7543
7/1/2013,7878
8/1/2013,7041
9/1/2013,7069
10/1/2013,10207
11/1/2013,7532
12/1/2013,9057
1/1/2014,9799
2/1/2014,7630
3/1/2014,7577
4/1/2014,8256
5/1/2014,6675
6/1/2014,7007
7/1/2014,7169
8/1/2014,6488
9/1/2014,7509
10/1/2014,7925
11/1/2014,6993
12/1/2014,7978
